
 heat flux (elem, integ.pnt.,qx,qy,qz) for set EALL and time  0.1000000E+01

        12   4  1.468234E+03  3.730735E+03 -7.457053E+02
        12   5  1.301576E+03  3.976895E+03 -7.006547E+02
        12   6  1.487244E+03  3.976895E+03 -7.647156E+02
        12   7  1.301576E+03  3.791226E+03 -6.852144E+02
        12   8  1.487244E+03  3.791226E+03 -7.457053E+02
        13   1  1.667456E+03  6.990758E+03 -8.354721E+02
        13   2  2.029641E+03  6.990758E+03 -9.647216E+02
        13   3  1.667456E+03  6.628573E+03 -8.116084E+02
        13   4  2.029641E+03  6.628573E+03 -9.311679E+02
        13   5  1.691319E+03  7.120007E+03 -8.354721E+02
        13   6  2.063194E+03  7.120007E+03 -9.647216E+02
        13   7  1.691319E+03  6.748132E+03 -8.116084E+02
        13   8  2.063194E+03  6.748132E+03 -9.311679E+02
        14   1  2.407690E+03  1.092055E+04 -1.097529E+03
        14   2  3.078354E+03  1.092055E+04 -1.331117E+03
        14   3  2.407690E+03  1.024988E+04 -1.055513E+03
        14   4  3.078354E+03  1.024988E+04 -1.275671E+03
        14   5  2.449706E+03  1.115414E+04 -1.097529E+03
        14   6  3.133800E+03  1.115414E+04 -1.331117E+03
        14   7  2.449706E+03  1.047004E+04 -1.055513E+03
        14   8  3.133800E+03  1.047004E+04 -1.275671E+03
        15   1  3.777709E+03  1.639576E+04 -1.592582E+03
        15   2  5.017720E+03  1.639576E+04 -2.073329E+03
        15   3  3.777709E+03  1.515575E+04 -1.500921E+03
        15   4  5.017720E+03  1.515575E+04 -1.896158E+03
        15   5  3.869370E+03  1.687650E+04 -1.592582E+03
        15   6  5.194891E+03  1.687650E+04 -2.073329E+03
        15   7  3.869370E+03  1.555098E+04 -1.500921E+03
        15   8  5.194891E+03  1.555098E+04 -1.896158E+03
        16   1  6.414897E+03  2.487065E+04 -2.514051E+03
        16   2  8.992045E+03  2.487065E+04 -3.237377E+03
        16   3  6.414897E+03  2.229350E+04 -2.348143E+03
        16   4  8.992045E+03  2.229350E+04 -3.187749E+03
        16   5  6.580805E+03  2.559397E+04 -2.514051E+03
        16   6  9.041673E+03  2.559397E+04 -3.237377E+03
        16   7  6.580805E+03  2.313310E+04 -2.348143E+03
        16   8  9.041673E+03  2.313310E+04 -3.187749E+03
        17   1  1.186952E+04  3.864853E+04 -4.749932E+03
        17   2  1.715377E+04  3.864853E+04 -8.158982E+03
        17   3  1.186952E+04  3.336428E+04 -4.045828E+03
        17   4  1.715377E+04  3.336428E+04 -5.550538E+03
        17   5  1.257362E+04  4.205758E+04 -4.749932E+03
        17   6  1.976221E+04  4.205758E+04 -8.158982E+03
        17   7  1.257362E+04  3.486899E+04 -4.045828E+03
        17   8  1.976221E+04  3.486899E+04 -5.550538E+03
        18   1  2.471349E+04  6.725456E+04 -8.486825E+03
        18   2  4.008278E+04  6.725456E+04 -5.973460E+03
        18   3  2.471349E+04  5.188527E+04 -7.962460E+03
        18   4  4.008278E+04  5.188527E+04 -1.304725E+04
        18   5  2.523785E+04  6.474119E+04 -8.486825E+03
        18   6  3.300899E+04  6.474119E+04 -5.973460E+03
        18   7  2.523785E+04  5.697005E+04 -7.962460E+03
        18   8  3.300899E+04  5.697005E+04 -1.304725E+04
        19   1  6.634481E+04  1.227247E+05 -3.270732E+04
        19   2  1.227247E+05  1.227247E+05 -1.082589E+05
        19   3  6.634481E+04  6.634481E+04 -1.967761E+04
        19   4  1.227247E+05  6.634481E+04 -3.270732E+04
        19   5  7.937451E+04  1.982763E+05 -3.270732E+04
        19   6  1.982763E+05  1.982763E+05 -1.082589E+05
        19   7  7.937451E+04  7.937451E+04 -1.967761E+04
        19   8  1.982763E+05  7.937451E+04 -3.270732E+04
        20   1  1.604788E+05  7.666110E+04 -7.694769E+04
        20   2  2.072450E+05  7.666110E+04  8.414789E+04
        20   3  1.604788E+05  2.989492E+04 -3.018003E+04
        20   4  2.072450E+05  2.989492E+04 -1.024565E+04
        20   5  2.072465E+05 -8.443449E+04 -7.694769E+04
        20   6  1.128514E+05 -8.443449E+04  8.414789E+04
        20   7  2.072465E+05  9.960532E+03 -3.018003E+04
        20   8  1.128514E+05  9.960532E+03 -1.024565E+04
        21   1  1.747360E+03  1.155664E+03 -6.260750E+02
        21   2  1.828304E+03  1.155664E+03 -6.437708E+02
        21   3  1.747360E+03  1.074720E+03 -6.072592E+02
        21   4  1.828304E+03  1.074720E+03 -6.234250E+02
        21   5  1.766176E+03  1.173360E+03 -6.260750E+02
        21   6  1.848650E+03  1.173360E+03 -6.437708E+02
        21   7  1.766176E+03  1.090886E+03 -6.072592E+02
        21   8  1.848650E+03  1.090886E+03 -6.234250E+02
        22   1  1.954173E+03  3.567842E+03 -6.711592E+02
        22   2  2.217108E+03  3.567842E+03 -7.282900E+02
        22   3  1.954173E+03  3.304907E+03 -6.482000E+02
        22   4  2.217108E+03  3.304907E+03 -6.997208E+02
